Date,GARCH_VaR_95,GJR_GARCH_VaR_95,GARCH_VaR_99,GJR_GARCH_VaR_99
2023-01-02,12704.36112487438,12990.968708017548,17968.020381652215,18373.374955946354
2023-01-03,11980.009361877956,12419.552193121463,16943.555860132707,17565.209674343732
2023-01-04,11384.50119805724,11888.795163608196,16101.317299704764,16814.54987884033
2023-01-05,11080.821401450095,11418.871681690653,15671.817168112186,16149.9281306141
2023-01-06,10651.0152183661,11150.485456906206,15063.934081201765,15770.34437117265
2023-01-09,12833.113322075691,11068.728458550879,18150.117071187127,15654.71388819504
2023-01-10,12234.450496718368,10619.158215394766,17303.416812746207,15018.878113958634
2023-01-11,11540.819215450152,10172.232046994164,16322.400854786962,14386.781905106955
2023-01-12,12333.471522540174,9978.992663496327,17443.464139226464,14113.47975735638
2023-01-13,12348.92136696555,9687.87806234815,17465.31514903324,13701.75082148841
2023-01-16,11647.648981485176,9289.930932540537,16473.492231568292,13138.926601606678
2023-01-17,11005.77419873553,8931.400000435226,15565.676477155195,12631.849462331427
2023-01-18,10529.145131250596,8774.515249191945,14891.570891295452,12409.964364749427
2023-01-19,9990.080634579,8481.945248010104,14129.161686455089,11996.177028839824
2023-01-20,9947.748818102855,8874.52825189577,14069.290990576765,12551.414663064239
2023-01-23,9730.478417306664,8571.796220208813,13762.001316466978,12123.254973484885
2023-01-24,9541.18833668869,8288.642418408494,13494.284743145627,11722.785148053914
2023-01-25,9218.637914182542,7998.843487239784,13038.095525227887,11312.916989345389
2023-01-26,8735.46951620833,7695.780936927605,12354.741239464325,10884.289840966956
2023-01-27,8586.525036860989,7458.064463561929,12144.086219952349,10548.082896241023
2023-01-30,8144.175077765145,7188.352382914886,11518.462231250143,10166.62395355123
2023-01-31,8882.235239275262,8524.311044041628,12562.31480239078,12056.095782651762
2023-02-01,9665.278158570323,8376.893850831535,13669.787346291821,11847.600833069551
2023-02-02,10242.822185916539,8230.330192604493,14486.618885686601,11640.31305430224
2023-02-03,11055.542999949177,8154.657336093045,15636.06544247092,11533.287489240698
2023-02-06,12290.944752788448,10782.865076601942,17383.31771721011,15250.411851851803
2023-02-07,12313.36143824973,11347.247910815986,17415.02206324517,16048.629264639087
2023-02-08,11693.223042586977,10873.285510532785,16537.948495893816,15378.295197091906
2023-02-09,11289.142571026723,10747.542719762196,15966.44977372615,15200.45476850175
2023-02-10,11449.667228294413,11332.978804062388,16193.482859860349,16028.448194654024
2023-02-13,10864.982519742867,10914.547994629083,15366.552118768208,15436.653515778882
2023-02-14,10872.771620202866,10535.872192551664,15377.568392191512,14901.085102468935
2023-02-15,10269.440974622448,10092.598781071745,14524.266346531067,14274.155057437296
2023-02-16,9738.282241525087,9707.916796278094,13773.038413982798,13730.091985293233
2023-02-17,11327.400581127209,11967.99858658356,16020.55880750519,16926.568791427093
2023-02-20,10692.022837269113,11448.88641003196,15121.93193918218,16192.378533691075
2023-02-21,10099.1322659639,10956.660222407902,14283.395489801549,15496.21364317207
2023-02-22,12910.995593810037,14456.443912038296,18260.267454361623,20446.024503281315
2023-02-23,12183.19318340855,13811.800383181831,17230.92261636696,19534.292858412184
2023-02-24,11715.23488919661,13225.930304443596,16569.080270615275,18705.68562564408
2023-02-27,12227.537816468252,13969.80576249686,17293.64007715084,19757.76288166148
2023-02-28,11552.124586551547,13350.746865062232,16338.390256880886,18882.21606925469
2023-03-01,10901.662976389658,12760.440938655398,15418.429988592565,18047.335132477714
2023-03-02,10812.6853370845,12756.44898882796,15292.587215325033,18041.689241656688
2023-03-03,10299.77255918424,12207.513790985118,14567.164885407376,17265.31971578303
2023-03-06,12116.889740913828,11974.309416622564,17137.148392349798,16935.494318783516
2023-03-07,11473.860055054212,11505.681776572634,16227.699236428763,16272.705304439753
2023-03-08,11161.985188216302,11420.977907955164,15786.608660618793,16152.907006614012
2023-03-09,10585.578943265935,10982.590401217874,14971.386308579253,15532.887189899679
2023-03-10,11075.555756084288,11823.08949728019,15664.369865384768,16721.621101063378
2023-03-13,10608.953527650734,11331.866374917152,15004.44542934184,16026.874864884956
2023-03-14,10049.455796489618,10849.963099729312,14213.137111026816,15345.30986642104
2023-03-15,9699.292588996252,10415.63757104607,13717.894604355097,14731.034982785002
2023-03-16,9254.11500071302,9989.067968340967,13088.271445732315,14127.729453269496
2023-03-17,8934.314370739146,9597.550589205477,12635.971311868434,13573.998952465026
2023-03-20,8486.084634986124,9225.97639549793,12002.031442833695,13048.474479395607
2023-03-21,8198.014746419018,8872.926412077011,11594.608702072675,12549.149150439975
2023-03-22,8109.385488817929,8562.625397066846,11469.25865169753,12110.28450330447
2023-03-23,7974.986190223,8546.994583092805,11279.17515889558,12088.177544811497
2023-03-24,7706.753336167955,8229.678334821649,10899.808314603562,11639.391119400281
2023-03-27,7551.3943287570955,7942.606119063359,10680.081105640174,11233.379406331791
2023-03-28,8238.947283292002,8906.430409097055,11652.5003701052,12596.534492796489
2023-03-29,7820.240969753932,8552.737746494302,11060.31604051713,12096.300210409468
2023-03-30,8270.372322835787,8327.244996481084,11696.94540322941,11777.381510891444
2023-03-31,8122.270317795494,8043.040205104613,11487.481911207187,11375.42525084644
2023-04-03,10090.689600382566,8099.436073163253,14271.454866754879,11455.187003268178
2023-04-04,9554.166888466698,7792.0599499988175,13512.640556600501,11020.459086487048
2023-04-05,9040.335102730396,7499.436518177659,12785.91845636251,10606.596182604617
2023-04-06,8645.769141984298,7238.529800801784,12227.876288408772,10237.59083322574
2023-04-07,8221.306019741316,6983.034350456807,11627.549994409705,9876.23874207418
2023-04-10,7800.096648549125,6737.400453393994,11031.825542614495,9528.83403392181
2023-04-11,7850.805918358809,7125.53931134177,11103.544630612958,10077.786227736735
2023-04-12,7460.642155407058,6874.519231150919,10551.728575008783,9722.76373799955
2023-04-13,7165.635460940119,6720.965908367262,10134.494977285603,9505.59034326307
2023-04-14,7394.160844349635,6578.534517024589,10457.702788089053,9304.146908408133
2023-04-17,7262.520179990106,6664.095091879445,10271.52088433042,9425.1568622143
2023-04-18,7149.326613700884,6747.168077614877,10111.429063406467,9542.648571257141
2023-04-19,6806.816466120648,6515.777377765854,9627.010425416498,9215.388288733244
2023-04-20,6489.97149227797,6298.77454367141,9178.890532423013,8908.477039315827
2023-04-21,6220.965810439118,6118.251853067249,8798.430663048151,8653.160353002857
2023-04-24,5995.069098396605,5974.361560230888,8478.940632323112,8449.653565924556
2023-04-25,6016.654447800848,5831.59717128521,8509.469203907964,8247.739166204952
2023-04-26,5942.471992272583,5876.222176085448,8404.551541398896,8310.853162091931
2023-04-27,6867.39978490267,7164.9573423489055,9712.694569307223,10133.535901221227
2023-04-28,7751.366733526163,7078.298004100389,10962.905893863766,10010.971945379233
2023-05-01,8614.468657278707,7025.2039784134995,12183.607415569155,9935.880051634325
2023-05-02,9738.784089857234,9076.325824277292,13773.74818765594,12836.820820672576
2023-05-03,9217.626355549026,8712.460439517692,13036.664858548498,12322.199063208727
2023-05-04,8758.890992157696,8403.999061065775,12387.866679861529,11885.936249164124
2023-05-05,8870.655997056137,8811.436575479602,12545.938059148655,12462.18290110348
2023-05-08,9190.9827334005,8573.3976599075,12998.982275292234,12125.519920211696
2023-05-09,9036.283088209695,8674.33397436094,12780.187614899562,12268.27607595394
2023-05-10,8832.117927512925,8678.918171386158,12491.43293195527,12274.75959328889
2023-05-11,8666.606087191618,8379.014348565586,12257.3463776558,11850.599893481183
2023-05-12,8297.979137469269,8065.6073450997565,11735.990247998161,11407.342387599929
2023-05-15,8293.352469197998,8289.546200391635,11729.44666276942,11724.063384159926
2023-05-16,8017.175374604373,8145.579496271284,11338.844127480357,11520.448527144494
2023-05-17,7945.382013080846,8234.569100715193,11237.305406214291,11646.308222936092
2023-05-18,7933.416605656881,7969.899841698182,11220.382502153601,11271.98143911197
2023-05-19,7584.204038111164,7674.594785438256,10726.484503701313,10854.325862611206
2023-05-22,7587.076257231321,7845.006401246418,10730.546738014731,11095.342262886243
2023-05-23,7215.07022816938,7550.596411129374,10204.4115119627,10678.952595512286
2023-05-24,7444.004952671394,7954.327805027658,10528.198261684896,11249.95761048103
2023-05-25,7834.320050253294,8535.639728735187,11080.228352744474,12072.118157603985
2023-05-26,7601.40583277924,8221.922890443768,10750.813330169558,11628.422446416193
2023-05-29,8347.491725929318,8055.15486273419,11806.016846727056,11392.55924232113
2023-05-30,7920.716400305549,7749.2072528189565,11202.420359361779,10959.851699089273
2023-05-31,7634.693686623797,7475.811716237214,10797.892977108228,10573.183174378071
2023-06-01,7255.993173129882,7201.018428312089,10262.289613970352,10184.53778326804
2023-06-02,7360.446107209365,7008.135904112314,10410.019391958858,9911.740348432817
2023-06-05,7441.798566613636,6827.083276168719,10525.077727778002,9655.674161627663
2023-06-06,7267.52756281855,6836.173902692966,10278.602921422713,9668.53120820121
2023-06-07,7060.246319802549,6622.034872638066,9985.441103788808,9365.670291488115
2023-06-08,7654.527429555049,7615.996014131984,10825.944218231674,10771.448502087398
2023-06-09,8004.476566378047,7438.120709385392,11320.883960669087,10519.87606411398
2023-06-12,7638.124684224471,7172.333435097026,10802.745502490052,10143.968049956016
2023-06-13,7626.811631284305,6971.390818399713,10786.745235824961,9859.771072487341
2023-06-14,7248.716492047488,6726.667238889917,10251.998065051514,9513.653843822183
2023-06-15,7087.155944214055,6526.182440414513,10023.499899121842,9230.10436740149
2023-06-16,8479.039728529971,6587.7887140791745,11992.067697191804,9317.235295904222
2023-06-19,8073.710845002923,6412.255421514564,11418.803322155522,9068.975210453398
2023-06-20,7667.506494732677,6205.1804490839395,10844.300757797431,8776.10512524474
2023-06-21,7317.736723981462,6046.880891392942,10349.61469621826,8552.219039904377
2023-06-22,7072.74917324415,6011.4125637262105,10003.124128008549,8502.055507228095
2023-06-23,6753.4824512073565,5845.209866645009,9551.57911032887,8266.99186102919
2023-06-26,6514.128614235337,5763.962710469258,9213.056411007976,8152.082457575687
2023-06-27,6436.018906393092,5882.332014816861,9102.584360605817,8319.494423606428
2023-06-28,6566.3925249305485,5771.126103434016,9286.974257278716,8162.213780947829
2023-06-29,6353.570457413791,5616.119618451546,8985.975945815471,7942.985151182251
2023-06-30,6553.184714163264,6112.094012815862,9268.294198460258,8644.451202022625
2023-07-03,7606.547931236007,6133.939150077917,10758.08589814582,8675.347196532424
2023-07-04,7243.203670511624,5955.264135880219,10244.201176349816,8422.64371422111
2023-07-05,6895.439397722288,5774.428558366636,9752.3515288099,8166.884505981188
2023-07-06,7002.525869579266,6220.5031350070185,9903.805969534045,8797.7762923551
2023-07-07,8247.923823304793,8161.658437414945,11665.196061948433,11543.189280445264
2023-07-10,7972.613252181016,8023.6013992530625,11275.819067339013,11347.932576771565
2023-07-11,7702.11631785674,7736.682825067783,10893.250091115811,10942.13816191179
2023-07-12,7778.72481450997,7512.214220146953,11001.598949885094,10624.667930342128
2023-07-13,8294.0024084719,7369.706951338778,11730.365884287568,10423.117180539726
2023-07-14,9227.502469092575,7322.090250826248,13050.632834403226,10355.771972315048
2023-07-17,8754.326262762306,7079.959232610545,12381.41069596695,10013.32145256308
2023-07-18,8334.650590405505,6836.291093694661,11787.85538370286,9668.696953671311
2023-07-19,8310.888005098934,6669.487931523179,11754.247505832225,9432.784058236291
2023-07-20,8153.419281627047,6490.8373156305215,11531.536485183116,9180.1150829134
2023-07-21,8784.256932628754,7846.711970339461,12423.742213538808,11097.754481802638
2023-07-24,8364.076801225336,7599.79233621381,11829.473435218279,10748.531331186026
2023-07-25,7936.788554179378,7318.8629568971355,11225.151513297302,10351.20754892328
2023-07-26,7546.290489021448,7062.699839699986,10672.862647703298,9988.911163801318
2023-07-27,7175.4787346503435,6812.811551185562,10148.416507137366,9635.489388630569
2023-07-28,8367.34697089475,8566.458216295936,11834.098498587775,12115.705332683498
2023-07-31,8244.946835915052,8272.630669197551,11660.985651872,11700.13942558584
2023-08-01,7898.917591707922,7963.749626068448,11171.58988836619,11263.283071779648
2023-08-02,8438.652601227655,8820.570781273613,11934.947412323361,12475.101582669895
2023-08-03,9733.408289521558,10560.051451772351,13766.145090652504,14935.28229020787
2023-08-04,10619.678773277297,11771.344858089209,15019.614348905923,16648.43767039055
2023-08-07,10138.225585219147,11276.387252162169,14338.68591725873,15948.409682840818
2023-08-08,9636.707879521979,10800.600725760167,13629.379855414927,15275.495718913236
2023-08-09,9127.93004215444,10344.406137552398,12909.805650801527,14630.291007055075
2023-08-10,8791.36408751483,10066.869916624802,12433.793998323054,14237.766233455091
2023-08-11,8720.21037728453,10070.616989858921,12333.159948087734,14243.0657906371
2023-08-14,8294.042710396023,9678.948470816364,11730.422884067953,13689.121529777794
2023-08-15,7884.856018039653,9283.392769604558,11151.702336384149,13129.679552995769
2023-08-16,8808.834597865924,10346.840755029563,12458.502874509804,14633.734333013872
2023-08-17,9045.405275375299,10665.40800266166,12793.089298290462,15084.290070694617
2023-08-18,9152.59194900212,10840.597094279183,12944.68545628989,15332.063346177441
2023-08-21,8677.379756032915,10382.196293532514,12272.583783096563,14683.738345823418
2023-08-22,8246.605379836292,9965.516173562492,11663.331362190513,14094.419700465352
2023-08-23,7839.040567623145,9554.190927523872,11086.9046705443,13512.674555497813
2023-08-24,9680.049827537958,9442.639476022783,13690.679199606808,13354.905208855891
2023-08-25,10331.029448799978,10561.788211402827,14611.372100879471,14937.738622496574
2023-08-28,9879.303924711037,10132.966379246747,13972.48807168962,14331.247721888294
2023-08-29,9478.99628764192,9729.793903719024,13406.325341341379,13761.033195837113
2023-08-30,10549.125266639689,9551.76291588611,14919.829178065693,13509.240572303741
2023-08-31,10029.566886136,9171.071318561182,14185.007845565135,12970.821181306963
2023-09-01,9508.465607244496,8805.319449951487,13448.0043624309,12453.53133373335
2023-09-04,9509.977943005732,9138.131565780459,13450.143287758565,12924.233860345836
2023-09-05,9042.720169422988,8820.228730552066,12789.29170170109,12474.61781380691
2023-09-06,9226.867222682384,9313.534972311503,13049.734393282619,13172.310245500716
2023-09-07,9032.327357193952,9295.651054232918,12774.592949035092,13147.016678875734
2023-09-08,8576.113174958109,8940.26583309152,12129.3605249691,12644.388578647691
2023-09-11,8145.894338315189,8585.243287258741,11520.893814255454,12142.273417029715
2023-09-12,7750.846425684688,8250.56590389577,10962.17001255431,11668.9328069482
2023-09-13,7377.0807532780655,7942.621853841437,10433.546089339867,11233.401660328696
2023-09-14,7017.501135352226,7641.052424902017,9924.985773696126,10806.88626200163
2023-09-15,6723.3894376159005,7362.470383505058,9509.01798692866,10412.882364553985
